Metadata_Batch,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_FieldID,Metadata_plate_map_name,Metadata_broad_sample,Metadata_genes,Metadata_pert_type,Metadata_control_type,Metadata_Assay_Plate_Barcode,Metadata_Plate_Map_Name,Metadata_cell_line,Metadata_timepoint,Metadata_experiment_type,Metadata_experiment_condition,Metadata_replicate_id,Metadata_negcon_control_type,Metadata_target_sequence,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_target,Metadata_pert_iname,Metadata_pubchem_cid,Metadata_InChIKey,Metadata_gene,Metadata_negcon_or_other,Metadata_negcon_control_type_trimmed,FileName_OrigRNA,FileName_OrigER,FileName_OrigAGP,FileName_OrigMito,FileName_OrigBrightfield,FileName_OrigHighZBF,FileName_OrigLowZBF,FileName_OrigDNA
2020_11_04_CPJUMP1,BR00117024,D13,1,1,C-7210-01-CMP-013,BRD-K75748943-300-01-3,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,2.2761,5,DMSO,PPARD,DG-172,57342889,ZJMDTBBCNMGFMS-SAPNQHFASA-N,NA,pert,NA,r04c13f01p01-ch3sk1fk1fl1.tiff,r04c13f01p01-ch4sk1fk1fl1.tiff,r04c13f01p01-ch2sk1fk1fl1.tiff,r04c13f01p01-ch1sk1fk1fl1.tiff,r04c13f01p01-ch8sk1fk1fl1.tiff,r04c13f01p01-ch6sk1fk1fl1.tiff,r04c13f01p01-ch7sk1fk1fl1.tiff,r04c13f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D14,1,1,C-7210-01-CMP-013,DMSO,NA,control,negcon,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,NA,NA,DMSO,NA,DMSO,NA,NA,NA,negcon,NA,r04c14f01p01-ch3sk1fk1fl1.tiff,r04c14f01p01-ch4sk1fk1fl1.tiff,r04c14f01p01-ch2sk1fk1fl1.tiff,r04c14f01p01-ch1sk1fk1fl1.tiff,r04c14f01p01-ch8sk1fk1fl1.tiff,r04c14f01p01-ch6sk1fk1fl1.tiff,r04c14f01p01-ch7sk1fk1fl1.tiff,r04c14f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D15,1,1,C-7210-01-CMP-013,DMSO,NA,control,negcon,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,NA,NA,DMSO,NA,DMSO,NA,NA,NA,negcon,NA,r04c15f01p01-ch3sk1fk1fl1.tiff,r04c15f01p01-ch4sk1fk1fl1.tiff,r04c15f01p01-ch2sk1fk1fl1.tiff,r04c15f01p01-ch1sk1fk1fl1.tiff,r04c15f01p01-ch8sk1fk1fl1.tiff,r04c15f01p01-ch6sk1fk1fl1.tiff,r04c15f01p01-ch7sk1fk1fl1.tiff,r04c15f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D16,1,1,C-7210-01-CMP-013,BRD-K15179513-001-04-2,NA,control,poscon_cp,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,2.2679,5,DMSO,IGF1R,NVP-ADW742,NA,LSFLAQVDISHMNB-AFARHQOCSA-N,NA,pert,NA,r04c16f01p01-ch3sk1fk1fl1.tiff,r04c16f01p01-ch4sk1fk1fl1.tiff,r04c16f01p01-ch2sk1fk1fl1.tiff,r04c16f01p01-ch1sk1fk1fl1.tiff,r04c16f01p01-ch8sk1fk1fl1.tiff,r04c16f01p01-ch6sk1fk1fl1.tiff,r04c16f01p01-ch7sk1fk1fl1.tiff,r04c16f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D17,1,1,C-7210-01-CMP-013,BRD-A72351335-001-04-5,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,1.9127,5,DMSO,PTGIR,misoprostol,5282381,OJLOPKGSLYJEMD-URPKTTJQSA-N,NA,pert,NA,r04c17f01p01-ch3sk1fk1fl1.tiff,r04c17f01p01-ch4sk1fk1fl1.tiff,r04c17f01p01-ch2sk1fk1fl1.tiff,r04c17f01p01-ch1sk1fk1fl1.tiff,r04c17f01p01-ch8sk1fk1fl1.tiff,r04c17f01p01-ch6sk1fk1fl1.tiff,r04c17f01p01-ch7sk1fk1fl1.tiff,r04c17f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D18,1,1,C-7210-01-CMP-013,BRD-K37385792-003-02-1,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,2.6752,5,DMSO,AVPR1A,conivaptan,151171,IKENVDNFQMCRTR-UHFFFAOYSA-N,NA,pert,NA,r04c18f01p01-ch3sk1fk1fl1.tiff,r04c18f01p01-ch4sk1fk1fl1.tiff,r04c18f01p01-ch2sk1fk1fl1.tiff,r04c18f01p01-ch1sk1fk1fl1.tiff,r04c18f01p01-ch8sk1fk1fl1.tiff,r04c18f01p01-ch6sk1fk1fl1.tiff,r04c18f01p01-ch7sk1fk1fl1.tiff,r04c18f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D19,1,1,C-7210-01-CMP-013,BRD-A72483914-001-03-7,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,1.8973,5,DMSO,ADRA2B,spiroxatrine,5268,JVGBTTIJPBFLTE-UHFFFAOYSA-N,NA,pert,NA,r04c19f01p01-ch3sk1fk1fl1.tiff,r04c19f01p01-ch4sk1fk1fl1.tiff,r04c19f01p01-ch2sk1fk1fl1.tiff,r04c19f01p01-ch1sk1fk1fl1.tiff,r04c19f01p01-ch8sk1fk1fl1.tiff,r04c19f01p01-ch6sk1fk1fl1.tiff,r04c19f01p01-ch7sk1fk1fl1.tiff,r04c19f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D20,1,1,C-7210-01-CMP-013,BRD-K69122748-001-10-1,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,1.8415,5,DMSO,IL1B,diacerein,26248,TYNLGDBUJLVSMA-UHFFFAOYSA-N,NA,pert,NA,r04c20f01p01-ch3sk1fk1fl1.tiff,r04c20f01p01-ch4sk1fk1fl1.tiff,r04c20f01p01-ch2sk1fk1fl1.tiff,r04c20f01p01-ch1sk1fk1fl1.tiff,r04c20f01p01-ch8sk1fk1fl1.tiff,r04c20f01p01-ch6sk1fk1fl1.tiff,r04c20f01p01-ch7sk1fk1fl1.tiff,r04c20f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D21,1,1,C-7210-01-CMP-013,DMSO,NA,control,negcon,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,NA,NA,DMSO,NA,DMSO,NA,NA,NA,negcon,NA,r04c21f01p01-ch3sk1fk1fl1.tiff,r04c21f01p01-ch4sk1fk1fl1.tiff,r04c21f01p01-ch2sk1fk1fl1.tiff,r04c21f01p01-ch1sk1fk1fl1.tiff,r04c21f01p01-ch8sk1fk1fl1.tiff,r04c21f01p01-ch6sk1fk1fl1.tiff,r04c21f01p01-ch7sk1fk1fl1.tiff,r04c21f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D22,1,1,C-7210-01-CMP-013,DMSO,NA,control,negcon,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,NA,NA,DMSO,NA,DMSO,NA,NA,NA,negcon,NA,r04c22f01p01-ch3sk1fk1fl1.tiff,r04c22f01p01-ch4sk1fk1fl1.tiff,r04c22f01p01-ch2sk1fk1fl1.tiff,r04c22f01p01-ch1sk1fk1fl1.tiff,r04c22f01p01-ch8sk1fk1fl1.tiff,r04c22f01p01-ch6sk1fk1fl1.tiff,r04c22f01p01-ch7sk1fk1fl1.tiff,r04c22f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D23,1,1,C-7210-01-CMP-013,BRD-K36927236-001-36-7,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,2.47,5,DMSO,SLCO2B1,glyburide,3488,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,NA,pert,NA,r04c23f01p01-ch3sk1fk1fl1.tiff,r04c23f01p01-ch4sk1fk1fl1.tiff,r04c23f01p01-ch2sk1fk1fl1.tiff,r04c23f01p01-ch1sk1fk1fl1.tiff,r04c23f01p01-ch8sk1fk1fl1.tiff,r04c23f01p01-ch6sk1fk1fl1.tiff,r04c23f01p01-ch7sk1fk1fl1.tiff,r04c23f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D24,1,1,C-7210-01-CMP-013,BRD-K31170746-001-01-6,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,1.0362,5,DMSO,ADORA2A,ANR-94,11805896,QUGDTMONBLMLLD-UHFFFAOYSA-N,NA,pert,NA,r04c24f01p01-ch3sk1fk1fl1.tiff,r04c24f01p01-ch4sk1fk1fl1.tiff,r04c24f01p01-ch2sk1fk1fl1.tiff,r04c24f01p01-ch1sk1fk1fl1.tiff,r04c24f01p01-ch8sk1fk1fl1.tiff,r04c24f01p01-ch6sk1fk1fl1.tiff,r04c24f01p01-ch7sk1fk1fl1.tiff,r04c24f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,E01,1,1,C-7210-01-CMP-013,BRD-K57708067-001-01-3,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,2.4378,5,DMSO,HPGDS,TFC-007,16040067,NLSSUSRERAMBTA-UHFFFAOYSA-N,NA,pert,NA,r05c01f01p01-ch3sk1fk1fl1.tiff,r05c01f01p01-ch4sk1fk1fl1.tiff,r05c01f01p01-ch2sk1fk1fl1.tiff,r05c01f01p01-ch1sk1fk1fl1.tiff,r05c01f01p01-ch8sk1fk1fl1.tiff,r05c01f01p01-ch6sk1fk1fl1.tiff,r05c01f01p01-ch7sk1fk1fl1.tiff,r05c01f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,E02,1,1,C-7210-01-CMP-013,BRD-A48180038-003-24-3,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,1.6896,5,DMSO,CHRM3,trihexyphenidyl,5572,HWHLPVGTWGOCJO-UHFFFAOYSA-N,NA,pert,NA,r05c02f01p01-ch3sk1fk1fl1.tiff,r05c02f01p01-ch4sk1fk1fl1.tiff,r05c02f01p01-ch2sk1fk1fl1.tiff,r05c02f01p01-ch1sk1fk1fl1.tiff,r05c02f01p01-ch8sk1fk1fl1.tiff,r05c02f01p01-ch6sk1fk1fl1.tiff,r05c02f01p01-ch7sk1fk1fl1.tiff,r05c02f01p01-ch5sk1fk1fl1.tiff
