Metadata_Plate,Metadata_Well,Metadata_Channel,filename,URL
BR00117022,H17,URL_OrigDNA,r08c17f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c17f01p01-ch5sk1fk1fl1.tiff
BR00117022,H18,URL_OrigDNA,r08c18f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c18f01p01-ch5sk1fk1fl1.tiff
BR00117022,H19,URL_OrigDNA,r08c19f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c19f01p01-ch5sk1fk1fl1.tiff
BR00117022,H20,URL_OrigDNA,r08c20f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c20f01p01-ch5sk1fk1fl1.tiff
BR00117022,H21,URL_OrigDNA,r08c21f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c21f01p01-ch5sk1fk1fl1.tiff
BR00117022,H22,URL_OrigDNA,r08c22f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c22f01p01-ch5sk1fk1fl1.tiff
BR00117022,H23,URL_OrigDNA,r08c23f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c23f01p01-ch5sk1fk1fl1.tiff
BR00117022,H24,URL_OrigDNA,r08c24f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c24f01p01-ch5sk1fk1fl1.tiff
BR00117022,I01,URL_OrigDNA,r09c01f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c01f01p01-ch5sk1fk1fl1.tiff
BR00117022,I02,URL_OrigDNA,r09c02f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r09c02f01p01-ch5sk1fk1fl1.tiff
